ham	Hey, are we meeting today?
spam	Congratulations! You have won a free lottery ticket
ham	Can you call me when you reach home?
spam	Win cash now!!! Click here to claim your prize
ham	Let’s have lunch tomorrow
spam	URGENT! Your account has been selected for a reward
ham	I will be late today
spam	You have won a free iPhone. Click the link
ham	Are you coming to the party tonight?
spam	Exclusive offer just for you. Buy now
ham	Please send me the report by evening
spam	Congrats! You are selected for a cash prize
ham	Let’s catch up this weekend
spam	Claim your free gift card now
ham	Meeting scheduled at 3 PM today
spam	Act fast! Limited time offer
ham	Did you complete the assignment?
spam	You have been chosen to receive money
ham	I’ll call you later
spam	Free entry in a weekly contest
